,RULE,BODY,HEAD,CONFIDENCE
95,"{'G32_Down', 'G28_Down'}",{'G32_Down'},{'G28_Down'},0.7352941176470589
96,"{'G88_Down', 'G10_Down'}",{'G10_Down'},{'G88_Down'},0.7428571428571429
97,"{'G88_Down', 'G10_Down'}",{'G88_Down'},{'G10_Down'},0.7323943661971831
98,"{'G38_Down', 'G1_Up'}",{'G1_Up'},{'G38_Down'},0.782608695652174
99,"{'G38_Down', 'G1_Up'}",{'G38_Down'},{'G1_Up'},0.7397260273972602
100,"{'G28_Down', 'G2_Down'}",{'G2_Down'},{'G28_Down'},0.7575757575757576
101,"{'G28_Down', 'G2_Down'}",{'G28_Down'},{'G2_Down'},0.704225352112676
102,"{'G38_Down', 'G52_Down'}",{'G52_Down'},{'G38_Down'},0.8461538461538461
103,"{'G38_Down', 'G52_Down'}",{'G38_Down'},{'G52_Down'},0.7534246575342466
104,"{'G28_Down', 'G52_Down'}",{'G52_Down'},{'G28_Down'},0.8
105,"{'G28_Down', 'G52_Down'}",{'G28_Down'},{'G52_Down'},0.7323943661971831
106,"{'G88_Down', 'G28_Down'}",{'G28_Down'},{'G88_Down'},0.7323943661971831
107,"{'G88_Down', 'G28_Down'}",{'G88_Down'},{'G28_Down'},0.7323943661971831
108,"{'G59_Up', 'G72_Up', 'G96_Down'}","{'G96_Down', 'G72_Up'}",{'G59_Up'},0.864406779661017
109,"{'G59_Up', 'G72_Up', 'G96_Down'}","{'G59_Up', 'G96_Down'}",{'G72_Up'},0.8360655737704918
110,"{'G59_Up', 'G72_Up', 'G96_Down'}","{'G59_Up', 'G72_Up'}",{'G96_Down'},0.8225806451612904
111,"{'G59_Up', 'G72_Up', 'G96_Down'}",{'G96_Down'},"{'G59_Up', 'G72_Up'}",0.7183098591549296
112,"{'G59_Up', 'G82_Down', 'G72_Up'}","{'G82_Down', 'G72_Up'}",{'G59_Up'},0.896551724137931
113,"{'G59_Up', 'G82_Down', 'G72_Up'}","{'G59_Up', 'G72_Up'}",{'G82_Down'},0.8387096774193549
114,"{'G59_Up', 'G82_Down', 'G72_Up'}","{'G59_Up', 'G82_Down'}",{'G72_Up'},0.9122807017543859
115,"{'G59_Up', 'G82_Down', 'G72_Up'}",{'G72_Up'},"{'G59_Up', 'G82_Down'}",0.7027027027027027
116,"{'G59_Up', 'G82_Down', 'G72_Up'}",{'G82_Down'},"{'G59_Up', 'G72_Up'}",0.7647058823529411
